Account No,DATE,TRANSACTION DETAILS,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
789012,2025-10-27,Refund Received,2025-10-27,0,4822,0
789012,2025-10-28,Salary Deposit,2025-10-28,0,0,0
789012,2025-10-29,Refund Received,2025-10-29,0,3768,0
789012,2025-10-30,Check Deposit,2025-10-30,0,4739,0
345678,2025-10-01,Salary Deposit,2025-10-01,0,0,33965
345678,2025-10-02,Bill Payment,2025-10-02,0,0,33965
345678,2025-10-03,ATM Withdrawal,2025-10-03,0,0,33965
345678,2025-10-04,Salary Deposit,2025-10-04,0,0,33965
345678,2025-10-05,ATM Withdrawal,2025-10-05,0,0,33965
345678,2025-10-06,ATM Withdrawal,2025-10-06,0,0,33965
345678,2025-10-07,Salary Deposit,2025-10-07,0,2781,36746
345678,2025-10-08,Salary Deposit,2025-10-08,0,0,36746
345678,2025-10-09,Check Deposit,2025-10-09,0,2490,39236
345678,2025-10-10,Mobile Recharge,2025-10-10,0,0,39236
345678,2025-10-11,Salary Deposit,2025-10-11,0,0,39236
345678,2025-10-12,Mobile Recharge,2025-10-12,0,0,39236
345678,2025-10-13,Bill Payment,2025-10-13,0,0,39236
345678,2025-10-14,Mobile Recharge,2025-10-14,0,0,39236
345678,2025-10-15,Mobile Recharge,2025-10-15,0,0,39236
345678,2025-10-16,Check Deposit,2025-10-16,0,0,39236
345678,2025-10-17,ATM Withdrawal,2025-10-17,13293,0,25943
345678,2025-10-18,POS Purchase,2025-10-18,0,0,25943
345678,2025-10-19,Salary Deposit,2025-10-19,0,4893,30836
345678,2025-10-20,Online Transfer,2025-10-20,0,0,30836
345678,2025-10-21,Refund Received,2025-10-21,0,0,30836
345678,2025-10-22,POS Purchase,2025-10-22,0,0,30836
345678,2025-10-23,ATM Withdrawal,2025-10-23,0,0,30836
345678,2025-10-24,POS Purchase,2025-10-24,0,0,30836
345678,2025-10-25,Mobile Recharge,2025-10-25,0,0,30836
345678,2025-10-26,Check Deposit,2025-10-26,0,0,30836
345678,2025-10-27,Mobile Recharge,2025-10-27,0,0,30836
345678,2025-10-28,ATM Withdrawal,2025-10-28,5494,0,25342
345678,2025-10-29,ATM Withdrawal,2025-10-29,12893,0,12449
345678,2025-10-30,Check Deposit,2025-10-30,0,2836,15285
901234,2025-10-01,Check Deposit,2025-10-01,0,0,52825
901234,2025-10-02,Refund Received,2025-10-02,0,0,52825
901234,2025-10-03,ATM Withdrawal,2025-10-03,0,0,52825
901234,2025-10-04,ATM Withdrawal,2025-10-04,19242,0,33583
901234,2025-10-05,Online Transfer,2025-10-05,0,0,33583
901234,2025-10-06,Online Transfer,2025-10-06,0,0,33583
901234,2025-10-07,Salary Deposit,2025-10-07,0,0,33583
901234,2025-10-08,Salary Deposit,2025-10-08,0,0,33583
901234,2025-10-09,Mobile Recharge,2025-10-09,0,0,33583
901234,2025-10-10,Bill Payment,2025-10-10,0,0,33583
901234,2025-10-11,Refund Received,2025-10-11,0,2173,35756
901234,2025-10-12,Salary Deposit,2025-10-12,0,2675,38431
901234,2025-10-13,Online Transfer,2025-10-13,9930,0,28501
901234,2025-10-14,Bill Payment,2025-10-14,0,0,28501
901234,2025-10-15,POS Purchase,2025-10-15,405,0,28096
901234,2025-10-16,POS Purchase,2025-10-16,0,0,28096
901234,2025-10-17,Refund Received,2025-10-17,0,1585,29681
901234,2025-10-18,POS Purchase,2025-10-18,8104,0,21577
901234,2025-10-19,Refund Received,2025-10-19,0,1792,23369
901234,2025-10-20,Refund Received,2025-10-20,0,0,23369
901234,2025-10-21,Refund Received,2025-10-21,0,0,23369
901234,2025-10-22,Refund Received,2025-10-22,0,0,23369
901234,2025-10-23,Online Transfer,2025-10-23,9024,0,14345
901234,2025-10-24,Salary Deposit,2025-10-24,0,0,14345
901234,2025-10-25,Refund Received,2025-10-25,0,4640,18985
901234,2025-10-26,Refund Received,2025-10-26,0,0,18985
901234,2025-10-27,Mobile Recharge,2025-10-27,0,0,18985
901234,2025-10-28,Refund Received,2025-10-28,0,0,18985
901234,2025-10-29,Bill Payment,2025-10-29,0,0,18985
901234,2025-10-30,Online Transfer,2025-10-30,0,0,18985
567890,2025-10-01,Check Deposit,2025-10-01,0,0,54288
567890,2025-10-02,POS Purchase,2025-10-02,0,0,54288
567890,2025-10-03,ATM Withdrawal,2025-10-03,0,0,54288
567890,2025-10-04,Mobile Recharge,2025-10-04,0,0,54288
567890,2025-10-05,Online Transfer,2025-10-05,1470,0,52818
567890,2025-10-06,Bill Payment,2025-10-06,0,0,52818
567890,2025-10-07,ATM Withdrawal,2025-10-07,0,0,52818
567890,2025-10-08,Salary Deposit,2025-10-08,0,1342,54160
567890,2025-10-09,Mobile Recharge,2025-10-09,0,0,54160
567890,2025-10-10,Online Transfer,2025-10-10,0,0,54160
567890,2025-10-11,Online Transfer,2025-10-11,0,0,54160
567890,2025-10-12,Online Transfer,2025-10-12,10985,0,43175
567890,2025-10-13,Salary Deposit,2025-10-13,0,0,43175
567890,2025-10-14,POS Purchase,2025-10-14,0,0,43175
567890,2025-10-15,Check Deposit,2025-10-15,0,0,43175
567890,2025-10-16,Check Deposit,2025-10-16,0,3364,46539
567890,2025-10-17,Salary Deposit,2025-10-17,0,0,46539
567890,2025-10-18,Salary Deposit,2025-10-18,0,3764,50303
567890,2025-10-19,Refund Received,2025-10-19,0,1068,51371
567890,2025-10-20,Bill Payment,2025-10-20,0,0,51371
567890,2025-10-21,Mobile Recharge,2025-10-21,0,0,51371
567890,2025-10-22,Bill Payment,2025-10-22,0,0,51371
567890,2025-10-23,ATM Withdrawal,2025-10-23,3879,0,47492
567890,2025-10-24,Online Transfer,2025-10-24,19124,0,28368
567890,2025-10-25,ATM Withdrawal,2025-10-25,3652,0,24716
567890,2025-10-26,Bill Payment,2025-10-26,0,0,24716
567890,2025-10-27,Bill Payment,2025-10-27,0,0,24716
567890,2025-10-28,Mobile Recharge,2025-10-28,0,0,24716
567890,2025-10-29,POS Purchase,2025-10-29,0,0,24716
567890,2025-10-30,Refund Received,2025-10-30,0,863,25579
